Year,Month,CE,NE,NO,SE,SO
2019,1,44.3,63.8,48.8,47.4,30.0
2019,2,40.8,57.4,46.3,45.4,27.8
2019,3,44.6,58.3,51.1,49.1,35.3
2019,4,52.7,65.0,59.5,61.6,45.2
2019,5,51.3,64.2,58.0,58.7,44.0
2019,6,33.8,41.8,39.6,40.8,27.6
2019,7,32.5,43.4,38.7,38.1,26.3
2019,8,34.1,44.6,39.7,38.5,26.6
2019,9,31.9,41.0,36.4,37.1,25.7
2019,10,35.1,41.9,37.7,36.0,27.1
2019,11,45.0,60.6,49.6,49.5,33.3
2019,12,50.6,65.8,54.5,59.5,37.1
2020,1,39.9,54.4,41.1,43.4,26.3
2020,2,44.2,49.9,51.4,50.8,32.5
2020,3,39.0,52.2,46.9,52.4,33.5
2020,4,40.4,49.1,44.6,50.4,33.8
2020,5,39.0,48.6,41.6,44.7,33.6
2020,6,32.4,41.9,37.7,35.7,28.0
2020,7,31.4,40.2,36.7,38.2,25.1
2020,8,30.2,32.8,32.3,35.5,22.8
2020,9,32.0,34.8,32.2,36.1,24.0
2020,10,36.7,49.5,36.8,41.6,25.4
2020,11,40.1,55.7,38.0,45.6,27.0
2020,12,42.6,61.0,46.2,50.8,29.8
