,Year,Month,CE,NE,NO,SE,SO
0,2019,1,23.3,25.4,24.5,23.3,16.9
1,2019,2,20.9,22.7,22.7,21.0,15.5
2,2019,3,22.2,23.9,24.7,22.8,18.4
3,2019,4,28.6,30.9,33.3,29.9,26.3
4,2019,5,31.4,33.1,33.0,33.6,31.1
5,2019,6,20.2,20.3,23.0,21.1,16.5
6,2019,7,20.2,19.8,21.5,20.1,15.6
7,2019,8,19.6,20.1,21.8,18.7,15.7
8,2019,9,19.3,19.1,21.2,20.0,16.4
9,2019,10,21.0,19.2,23.8,21.0,16.9
10,2019,11,26.0,25.0,27.4,25.9,20.4
11,2019,12,28.1,29.3,29.7,27.9,22.3
12,2019,1,19.5,21.2,20.1,18.7,13.8
13,2019,2,20.6,21.9,22.4,21.3,16.1
14,2019,3,19.0,20.3,19.9,22.1,17.3
15,2019,4,22.8,23.4,21.5,24.0,20.7
16,2019,5,25.0,24.4,23.7,27.5,21.2
17,2019,6,19.3,18.1,21.5,17.8,16.8
18,2019,7,17.6,17.9,19.5,17.8,14.6
19,2019,8,16.7,15.0,17.0,15.9,13.7
20,2019,9,19.0,19.0,19.2,18.6,15.4
21,2019,10,18.5,19.6,18.7,19.2,14.0
22,2019,11,19.8,19.3,18.4,20.5,14.3
23,2019,12,18.4,19.4,19.1,19.5,15.5
